PRODUCT NAME,HSN CODE,UOM,MRP,COST,GST,RETAIL,WHOLESALE,SUPPLIER,RACK,INITIAL STK,STATUS
FEV Marine 50 KG,3506,PC,18265,14813,18%,16600,16300,ABIRAMI AGENCY,,1,AVAILABLE
FEV Marine 20 KG,3506,PC,7615,6162,18%,6900,6780,ABIRAMI AGENCY,,1,AVAILABLE
FEV Marine 10 KG,3506,PC,3950,3205,18%,3600,3525,ABIRAMI AGENCY,,1,AVAILABLE
FEV Marine 5 KG,3506,PC,2060,1657,18%,1850,1825,ABIRAMI AGENCY,,1,AVAILABLE
FEV Marine 2 KG,3506,PC,865,694,18%,780,760,ABIRAMI AGENCY,,1,AVAILABLE
FEV Marine 1 KG,3506,PC,465,361,18%,410,400,ABIRAMI AGENCY,,1,AVAILABLE
FEV HiPer 50 KG,3506,PC,21130,17163,18%,19200,18850,ABIRAMI AGENCY,,1,AVAILABLE
FEV HiPer 20 KG,3506,PC,8690,7066,18%,7900,7750,ABIRAMI AGENCY,,1,AVAILABLE
FEV HiPer 10 KG,3506,PC,4495,3651,18%,4100,4000,ABIRAMI AGENCY,,1,AVAILABLE
FEV HiPer 5 KG,3506,PC,2365,1899,18%,2125,2080,ABIRAMI AGENCY,,1,AVAILABLE
FEV HiPer 2 KG,3506,PC,1010,789,18%,890,870,ABIRAMI AGENCY,,1,AVAILABLE
FEV HiPer 1 KG,3506,PC,525,411,18%,460,450,ABIRAMI AGENCY,,1,AVAILABLE
FEV Probond 20 KG,3506,PC,9215,7517,18%,8420,8270,ABIRAMI AGENCY,,1,AVAILABLE
FEV Probond 10 KG,3506,PC,4685,3789,18%,4250,4150,ABIRAMI AGENCY,,1,AVAILABLE
FEV Probond 5 KG,3506,PC,2495,1977,18%,2225,2175,ABIRAMI AGENCY,,1,AVAILABLE
FEV Probond 1 KG,3506,PC,540,411,18%,460,450,ABIRAMI AGENCY,,1,AVAILABLE
FEV Probond 500 GM,3506,PC,305,229,18%,260,250,ABIRAMI AGENCY,,1,AVAILABLE
FEV SH 50 KG,3506,PC,14780,11512,18%,12900,12650,ABIRAMI AGENCY,,1,AVAILABLE
FEV SH 20 KG,3506,PC,6240,4875,18%,5450,5350,ABIRAMI AGENCY,,1,AVAILABLE
FEV SH 10 KG,3506,PC,3280,2565,18%,2880,2820,ABIRAMI AGENCY,,1,AVAILABLE
FEV SH 5 KG,3506,PC,1705,1336,18%,1500,1470,ABIRAMI AGENCY,,1,AVAILABLE
FEV SH 2 KG,3506,PC,725,556,18%,625,610,ABIRAMI AGENCY,,1,AVAILABLE
FEV SH 1 KG,3506,PC,395,291,18%,325,320,ABIRAMI AGENCY,,1,AVAILABLE
FEV SH 500 GM,3506,PC,215,156,18%,175,170,ABIRAMI AGENCY,,1,AVAILABLE
FEV SH 250 GM,3506,PC,120,87,18%,100,95,ABIRAMI AGENCY,,1,AVAILABLE
FEV SH 125 GM,3506,PC,70,47,18%,55,50,ABIRAMI AGENCY,,1,AVAILABLE
FEV SH 50 GM,3506,PC,40,24,18%,30,27,ABIRAMI AGENCY,,1,AVAILABLE
FEV SH 1 KG,3506,PC,405,256,18%,290,280,ABIRAMI AGENCY,,1,AVAILABLE
FEV Heatex 5 LT,3506,PC,2975,2420,18%,2700,2650,ABIRAMI AGENCY,,1,AVAILABLE
FEV Heatex 2 LT,3506,PC,1255,1001,18%,1120,1100,ABIRAMI AGENCY,,1,AVAILABLE
FEV Heatex 1 LT,3506,PC,655,516,18%,580,560,ABIRAMI AGENCY,,1,AVAILABLE
FEV Heatex 500 ML,3506,PC,350,266,18%,300,290,ABIRAMI AGENCY,,1,AVAILABLE
FEV Heatex 200 ML,3506,PC,175,125,18%,140,135,ABIRAMI AGENCY,,1,AVAILABLE
FEV Heatex 100 ML,3506,PC,100,69,18%,80,75,ABIRAMI AGENCY,,1,AVAILABLE
FEV SR 5 LT,3506,PC,2445,2029,18%,2275,2230,ABIRAMI AGENCY,,1,AVAILABLE
FEV SR 2 LT,3506,PC,1020,847,18%,950,930,ABIRAMI AGENCY,,1,AVAILABLE
FEV SR 1 LT,3506,PC,560,434,18%,490,480,ABIRAMI AGENCY,,1,AVAILABLE
FEV SR 500 ML,3506,PC,300,235,18%,265,260,ABIRAMI AGENCY,,1,AVAILABLE
FEV SR 200 ML,3506,PC,155,108,18%,125,120,ABIRAMI AGENCY,,1,AVAILABLE
FEV SR 100 ML,3506,PC,95,61,18%,70,65,ABIRAMI AGENCY,,1,AVAILABLE
FEV MARINEKOAT 5 LT,3506,PC,4205,3226,18%,3600,3550,ABIRAMI AGENCY,,1,AVAILABLE
FEV MARINEKOAT 1 LT,3506,PC,865,663,18%,750,730,ABIRAMI AGENCY,,1,AVAILABLE
FEV MARINEKOAT 500 ML,3506,PC,465,353,18%,400,390,ABIRAMI AGENCY,,1,AVAILABLE
FEV 1K PUR 500 GM,3506,PC,595,396,18%,450,435,ABIRAMI AGENCY,,1,AVAILABLE
ACE EDISON 8W PANEL RD-WH,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 8W PANEL RD-WW,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 8W PANEL RD-NW,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 8W PANEL SQ-WH,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 8W PANEL SQ-WW,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 8W PANEL SQ-NW,9405,PC,550,312,18%,400,340,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 15W PANEL RD-WH,9405,PC,800,453,18%,580,495,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 15W PANEL RD-WW,9405,PC,800,453,18%,580,495,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 15W PANEL RD-NW,9405,PC,800,453,18%,580,495,CHANDAN LITES,,1,AVAILABLE
ACE EDISON 15W PANEL SQ-WH,9405,PC,800,453,18%,580,495,CHANDAN LITES,,1,AVAILABLE
